         ps       /tb/rst        /tb/x             
          delta     /tb/ena   /tb/detector         
                      /tb/clk                      
                       /tb/DetectionCode           
          0  +3         1 0 0 00000000 0 0 
      50000  +1         1 0 1 00000000 0 0 
     100000  +1         0 0 0 00000001 0 0 
     150000  +1         0 0 1 00000001 0 0 
     200000  +1         0 1 0 00000010 0 0 
     250000  +3         0 1 1 00000010 0 0 
     300000  +1         0 1 0 00000011 0 0 
     350000  +5         0 1 1 00000011 0 1 
     400000  +1         0 1 0 00000100 0 1 
     450000  +5         0 1 1 00000100 0 1 
     500000  +1         0 1 0 00000101 0 1 
     550000  +5         0 1 1 00000101 0 1 
     600000  +1         0 1 0 00000110 0 1 
     650000  +5         0 1 1 00000110 0 1 
     700000  +1         0 1 0 00000111 0 1 
     750000  +5         0 1 1 00000111 0 1 
     800000  +1         0 1 0 00001000 0 1 
     850000  +5         0 1 1 00001000 0 1 
     900000  +1         0 1 0 00001001 0 1 
     950000  +5         0 1 1 00001001 0 1 
    1000000  +1         0 1 0 00001010 0 1 
    1050000  +5         0 1 1 00001010 0 1 
    1100000  +1         0 1 0 00001011 0 1 
    1150000  +5         0 1 1 00001011 0 1 
    1200000  +2         0 1 0 00000000 1 0 
    1250000  +4         0 1 1 00000000 1 0 
    1300000  +1         0 1 0 00000010 1 0 
    1350000  +5         0 1 1 00000010 1 1 
    1400000  +1         0 1 0 00000100 1 1 
    1450000  +5         0 1 1 00000100 1 1 
    1500000  +1         0 1 0 00000110 1 1 
    1550000  +5         0 1 1 00000110 1 1 
    1600000  +1         0 1 0 00001000 1 1 
    1650000  +5         0 1 1 00001000 1 1 
    1700000  +1         0 1 0 00001010 1 1 
    1750000  +5         0 1 1 00001010 1 1 
    1800000  +1         0 1 0 00001100 1 1 
    1850000  +5         0 1 1 00001100 1 1 
    1900000  +1         0 1 0 00001110 1 1 
    1950000  +5         0 1 1 00001110 1 1 
    2000000  +1         0 1 0 00010000 1 1 
    2050000  +5         0 1 1 00010000 1 1 
    2100000  +1         0 1 0 00010010 1 1 
    2150000  +5         0 1 1 00010010 1 1 
    2200000  +1         0 1 0 00010100 1 1 
    2250000  +5         0 1 1 00010100 1 1 
    2300000  +1         0 1 0 00010110 1 1 
    2350000  +5         0 1 1 00010110 1 1 
    2400000  +2         0 1 0 00000000 2 0 
    2450000  +4         0 1 1 00000000 2 0 
    2500000  +1         0 1 0 00000011 2 0 
    2550000  +5         0 1 1 00000011 2 1 
    2600000  +1         0 1 0 00000110 2 1 
    2650000  +5         0 1 1 00000110 2 1 
    2700000  +1         0 1 0 00001001 2 1 
    2750000  +5         0 1 1 00001001 2 1 
    2800000  +1         0 1 0 00001100 2 1 
    2850000  +5         0 1 1 00001100 2 1 
    2900000  +1         0 1 0 00001111 2 1 
    2950000  +5         0 1 1 00001111 2 1 
    3000000  +1         0 1 0 00010010 2 1 
    3050000  +5         0 1 1 00010010 2 1 
    3100000  +1         0 1 0 00010101 2 1 
    3150000  +5         0 1 1 00010101 2 1 
    3200000  +1         0 1 0 00011000 2 1 
    3250000  +5         0 1 1 00011000 2 1 
    3300000  +1         0 1 0 00011011 2 1 
    3350000  +5         0 1 1 00011011 2 1 
    3400000  +1         0 1 0 00011110 2 1 
    3450000  +5         0 1 1 00011110 2 1 
    3500000  +1         0 1 0 00100001 2 1 
    3550000  +5         0 1 1 00100001 2 1 
    3600000  +2         0 1 0 00000000 3 0 
    3650000  +4         0 1 1 00000000 3 0 
    3700000  +1         0 1 0 00000100 3 0 
    3750000  +5         0 1 1 00000100 3 1 
    3800000  +1         0 1 0 00001000 3 1 
    3850000  +5         0 1 1 00001000 3 1 
    3900000  +1         0 1 0 00001100 3 1 
    3950000  +5         0 1 1 00001100 3 1 
    4000000  +1         0 1 0 00010000 3 1 
    4050000  +5         0 1 1 00010000 3 1 
    4100000  +1         0 1 0 00010100 3 1 
    4150000  +5         0 1 1 00010100 3 1 
    4200000  +1         0 1 0 00011000 3 1 
    4250000  +5         0 1 1 00011000 3 1 
    4300000  +1         0 1 0 00011100 3 1 
    4350000  +5         0 1 1 00011100 3 1 
    4400000  +1         0 1 0 00100000 3 1 
    4450000  +5         0 1 1 00100000 3 1 
    4500000  +1         0 1 0 00100100 3 1 
    4550000  +5         0 1 1 00100100 3 1 
    4600000  +1         0 1 0 00101000 3 1 
    4650000  +5         0 1 1 00101000 3 1 
    4700000  +1         0 1 0 00101100 3 1 
    4750000  +5         0 1 1 00101100 3 1 
